,weights,corr
weight_22,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
weight_23,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",
weight_24,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",
weight_25,"{'prop_pos': np.float64(0.09999999999999976), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_26,"{'prop_pos': np.float64(0.04999999999999975), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",
weight_27,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
weight_28,"{'prop_pos': np.float64(0.04999999999999971), '_1m_mom': np.float64(0.15000000000000002), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_29,"{'prop_pos': np.float64(0.1499999999999999), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_30,"{'prop_pos': np.float64(0.09999999999999991), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",
weight_31,"{'prop_pos': np.float64(0.049999999999999906), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.1), 'ma_trend_strength': np.float64(0.15)}",
weight_32,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
weight_33,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.2)}",
weight_34,"{'prop_pos': np.float64(0.04999999999999993), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",
weight_35,"{'prop_pos': np.float64(0.0), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.1), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.30000000000000004)}",
weight_36,"{'prop_pos': np.float64(0.09999999999999987), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_37,"{'prop_pos': np.float64(0.049999999999999864), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.05), 'ma_trend_strength': np.float64(0.15)}",
weight_38,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.2)}",
weight_39,"{'prop_pos': np.float64(0.0), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.15000000000000002), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.25)}",
weight_40,"{'prop_pos': np.float64(0.04999999999999982), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.20000000000000004), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
weight_41,"{'prop_pos': np.float64(0.0), '_1m_mom': np.float64(0.2), '_3m_mom': np.float64(0.20000000000000004), '_6m_mom': np.float64(0.20000000000000004), 'vol': np.float64(0.25000000000000006), 'tslgc': np.float64(0.0), 'ma_trend_strength': np.float64(0.15)}",
